RT,Area,Metabolite,Confidence,SampleID
7.4646,3.67E+04,"4-Octenoic acid, methyl ester, (Z)-",50.40%,M12-5
12.098,3.57E+04,"2,4'-Bipyridine",56.62%,M12-5
17.0867,3.54E+04,"Glucopyranose, 4-O-[2,3,4,6-tetrakis-O-(trimethylsilyl)-á-d-glucopyranosyl]-1,2,3,6-tetrakis-O-(trimethylsilyl)-, d-",58.62%,M12-5
12.3367,3.48E+04,"Pentitol, 3-desoxy-tetrakis-O-(trimethylsilyl)-",53.57%,M12-5
7.6565,3.45E+04,"1,2-Propanediol, 3-(1-naphthalenyloxy)-",95.40%,M12-5
20.8211,3.42E+04,dl-2-Benzylaminooctanol,63.97%,M12-5
18.5754,3.42E+04,"6-[[2-Naphthalenylthio]methyl]-2,4-pteridinediamine",76.34%,M12-5
18.8382,3.39E+04,ARBUTIN,46.92%,M12-5
8.1702,3.36E+04,ISOLEUCINE,60.07%,M12-5
21.5279,3.32E+04,"Silane, methyltriphenoxy-",83.50%,M12-5
20.6522,3.28E+04,Allyltriphenylsilane,59.00%,M12-5
13.6494,3.17E+04,TYR-1a,79.00%,M12-5
21.7782,3.15E+04,"4-Fluorobenzoic acid, 4-benzyloxyphenyl ester",63.61%,M12-5
10.6763,3.12E+04,"Arabinofuranose, 1,2,3,5-tetrakis-O-(trimethylsilyl)-",66.66%,M12-5
7.7551,3.11E+04,8-Quinolinecarboxanilide,60.91%,M12-5
10.6089,3.10E+04,"[10787] benzene-1,2,4-triol [14.164]",55.80%,M12-5
11.0862,3.06E+04,"[428] 1,3-diaminopropane 1 [14.708]",67.32%,M12-5
8.9381,3.04E+04,"Pentanamide, N,N-dioctyl-",46.45%,M12-5
14.5834,2.98E+04,"Gulose, 2,3,4,5,6-pentakis-O-(trimethylsilyl)-",53.76%,M12-5
12.181,2.98E+04,"3,5,5'-Trihydroxy-3'-methoxy-2,2'-binaphthalene-1,1',4,4'-tetrone",64.03%,M12-5
19.0696,2.90E+04,SUCROSE,50.78%,M12-5
12.3523,2.86E+04,4-Phenoxy-2-phenyl-1-naphthalenol,62.36%,M12-5
7.8433,2.84E+04,Trimethylsilyl 3-pyridinecarboximidoate  #,55.77%,M12-5
8.2065,2.83E+04,5-Chloro-2-([4-(2-naphthyloxy)butyl]sulfanyl)-4(3H)-pyrimidinone  #,43.46%,M12-5
15.2914,2.82E+04,"3-n-Butyl-5-[2-[4-chlorophenyl]-6,8-dimethyl-4-quinolyl]-2-n-butyloxazolidine",53.49%,M12-5
21.872,2.81E+04,1-(1-Phenylethenyl)-1H-indole,59.05%,M12-5
11.0759,2.75E+04,[3893] lauric acid [14.789],43.34%,M12-5
18.0813,2.72E+04,"2H,8H-Benzo[1,2-b:3,4-b']dipyran-6-propanol, 5-methoxy-2,2,8,8-tetramethyl-, 3,5-dinitrobenzoate",45.60%,M12-5
9.4466,2.70E+04,"(Z,Z)-3-Methyl-3H-cyclonona(def)biphenylene",65.60%,M12-5
14.0956,2.62E+04,5-(4-Diethylaminobenzylidene)rhodanine,52.45%,M12-5
10.806,2.55E+04,"Heptasiloxane, hexadecamethyl-",56.68%,M12-5
20.9462,2.55E+04,"Silane, dimethyl(docosyloxy)undecyloxy-",56.58%,M12-5
11.3924,2.54E+04,6-(4-Fluorophenyl)-4-phenyl-3-cyanopyridine-2(1H)-thione,52.78%,M12-5
10.1886,2.42E+04,"Trimethyl(2,6 ditert.-butylphenoxy)silane",89.30%,M12-5
21.3778,2.37E+04,9-Acridinecarbonitrile,63.13%,M12-5
19.2948,2.31E+04,"Anthra[2,3-a]coronene",47.37%,M12-5
9.0367,2.26E+04,Isoparvifuran,81.82%,M12-5
7.2882,2.22E+04,Diethyl(3-decyn-1-yl)amine,63.36%,M12-5
7.6514,2.17E+04,"Isophthalic acid, di(3,5-difluorophenyl) ester",55.82%,M12-5
22.2598,2.16E+04,"Silane, dimethyl(dimethyl(2-decyloxy)silyloxy)propoxy-",58.86%,M12-5
7.4231,2.10E+04,Phenyl-pentamethyl-disiloxane,72.64%,M12-5
6.6033,2.06E+04,"8-Thiabicyclo[3.2.1]octan-3-ol, 6-methoxy-",58.71%,M12-5
22.7727,2.05E+04,"Neopentane-1,1-diol diacetate",52.84%,M12-5
8.8759,2.05E+04,"1,2-Diphenyl-3-chlorocarbonyl-cyclopropene",44.98%,M12-5
12.6895,2.04E+04,"Hexanoic acid, 6-(4-cyanophenyl)-2-naphthalenyl ester",73.06%,M12-5
9.7528,2.04E+04,Trimethyl-[2-[2-[2-[2-(2-trimethylsilyloxyethoxy)ethoxy]ethoxy]ethoxy]ethoxy]silane,54.82%,M12-5
21.4967,2.03E+04,"Silane, dimethyl(2-pentyloxy)butoxy-",83.65%,M12-5
20.1831,2.02E+04,"Phthalic acid, 4-isopropylphenyl propyl ester",55.39%,M12-5
16.8552,1.96E+04,"Carbonic acid, monoamide, N-benzyl-N-phenethyl-, allyl ester",58.85%,M12-5
21.8407,1.83E+04,"Silane, methyltriphenoxy-",80.31%,M12-5
11.6829,1.82E+04,D-ERYTHROSE 4-PHOSPHATE(1),49.14%,M12-5
18.6568,1.82E+04,2-(4-Methylphenyl)-4-[(2-propyn-1-yl)thio]quinazoline,77.50%,M12-5
19.8265,1.79E+04,"Thiophene-3-carbonitrile, 4-(4-chlorophenyl)-2-dimethylamino-",49.20%,M12-5
7.1584,1.77E+04,"Cyclopentasiloxane, decamethyl-",53.66%,M12-5
8.523,1.77E+04,"Disiloxane, hexamethyl-",69.85%,M12-5
15.4978,1.77E+04,"1,3-Benzenediol, o-(2-furoyl)-",83.64%,M12-5
20.7398,1.72E+04,p-Octadecyloxyaniline,72.50%,M12-5
7.3089,1.72E+04,"Terbutaline, N-trifluoroacetyl-o,o,o-tris(trimethylsilyl)deriv.",57.87%,M12-5
20.3144,1.68E+04,p-Octadecyloxyaniline,81.60%,M12-5
7.2259,1.57E+04,"Propenoic acid, 3-(1-methyl-4-pyrazolyl)-",63.01%,M12-5
6.8367,1.57E+04,"Butyric acid, 2,3-dioxo-, 2-methyloxime, ethyl ester",46.17%,M12-5
18.4441,1.56E+04,Lanostan-12-one,70.53%,M12-5
7.0858,1.51E+04,"1-Aminocyclopentanecarboxylic acid, n-butoxycarbonyl-, octyl ester",60.25%,M12-5
9.7995,1.49E+04,"1,4,7-Tris(dimethylamino)tricyclo[5.2.1.0(4,10)]deca-2,5,8-triene",49.70%,M12-5
20.8273,1.47E+04,"Phosphonic acid, [3-[bis(trimethylsilyl)amino]-1-[(trimethylsilyl)amino]propyl]-, bis(trimethylsilyl) ester",41.87%,M12-5
6.4995,1.45E+04,"Methyl 3-[1-(2,6-dichlorobenzoyl)-5-formylpyrrol-2-yl]prop-2-enoate",56.21%,M12-5
12.84,1.44E+04,"[1]Benzothiopyrano[4,3-b]benzo[e]indole",74.01%,M12-5
21.5842,1.43E+04,"4-Phenoxy-5,6-diphenyl-2H-pyridazin-3-one",43.10%,M12-5
19.1759,1.40E+04,"Pyridine, 4-(biphenyl-4-yloxy)-3-chloro-2,5,6-trifluoro-",49.49%,M12-5
8.2844,1.39E+04,"d-Proline, N-ethoxycabonyl-, undecyl ester",63.98%,M12-5
7.6981,1.39E+04,"1,3-Cyclohexadiene, 5-(1,1-dimethylethyl)-",51.90%,M12-5
19.1134,1.39E+04,4-Amino-1-methyl-5-nitropyrazole,43.04%,M12-5
21.9596,1.38E+04,"4-(4-Chloro-phenyl)-9-methyl-2-trifluoromethyl-2H-pyrido[1,2-a][1,3,5]triazine-2-carboxylic acid methyl ester",62.34%,M12-5
7.5216,1.33E+04,"1-(4-Morpholino)-7-thiabicyclo[4.2.0]octane-7,7-dioxide",44.13%,M12-5
6.8004,1.33E+04,"Phosphoric acid, dimethyl 1-phenylethenyl ester",43.54%,M12-5
20.6022,1.31E+04,"Silane, dimethyl(1-phenylpropoxy)tridecyloxy-",67.49%,M12-5
9.4881,1.29E+04,"Chromium, tricarbonyl[(1,2,3,4,5,6-ü)-1,1'-(1,2-ethanediyl)bis[benzene]]-",59.40%,M12-5
21.6593,1.27E+04,9-Acridinecarbonitrile,60.24%,M12-5
10.1575,1.27E+04,"p-Benzoquinone, 2-hydroxy-5-[[1-(hydroxymethyl)propyl]amino]-3,6-dimethyl-",54.38%,M12-5
10.448,1.26E+04,"s-Tetrazine, 3,6-bis(dimethylamino)-",53.33%,M12-5
6.733,1.26E+04,"Thiazolidin-4-one, 5-benzylideno-2-imino-3-(2-thiazolyl)-",44.13%,M12-5
8.4089,1.25E+04,"Benzamide, N-(1H-1,3-benzimidazol-2-ylmethyl)-4-methoxy-",44.39%,M12-5
8.9641,1.22E+04,"9H-Fluorene, 1,9-dimethyl-",68.12%,M12-5
8.6424,1.22E+04,"1,1,1,3,5,7,7,7-Octamethyl-3,5-bis(trimethylsiloxy)tetrasiloxane",52.79%,M12-5
10.7386,1.17E+04,"3,4,5,6-Tetramethyl-1-phenyl-4,5,6,8-tetrahydropyrazolo[3,4-b][1,4]diazepin-7(1H)-one  #",50.90%,M12-5
13.9919,1.15E+04,"1,2,3-Triphenyl-3-isopropyl-cyclopropene",60.20%,M12-5
8.1391,1.14E+04,"Methanone, (2-indanyl)(4-morpholyl)-",56.11%,M12-5
20.1205,1.11E+04,"Benzaldehyde, 2,4-bis(trimethylsiloxy)-",75.37%,M12-5
8.7877,1.07E+04,"2-Methoxyethanol, triisobutylsilyl ether",42.36%,M12-5
21.8532,1.06E+04,"Dihydropyranno(3,2-H)homochroman",74.87%,M12-5
14.5419,1.05E+04,"[1,1'-Biphenyl]-4-carbonitrile, 4'-(pentyloxy)-",76.85%,M12-5
15.0162,1.02E+04,"1'H-Cholest-2-eno[3,2-b]indol-6-one, 5'-chloro-, (5à)-",79.10%,M12-5
7.0806,1.01E+04,"Cyclopentasiloxane, decamethyl-",83.14%,M12-5
12.9593,1.00E+04,"1,5,12,16-Tetraoxa-cyclodocosane-2,4,13,15-tetraone",44.13%,M12-5
13.3329,9.82E+03,"2,4-Diphenyl-pyridazino(3,2-a)isoquinoline-3-one",41.10%,M12-5
19.7327,9.58E+03,"1-(2,3,4-Tri-O-acetylád-ribopyranosyl) indol-3-carbaldehydoxime",43.31%,M12-5
9.6386,9.47E+03,4-Aminoheptane,83.60%,M12-5
21.3966,9.46E+03,"Acrylophenone, 3,3-diphenyl-, semicarbazone",57.69%,M12-5
17.0554,9.40E+03,Ethyl 2-isothiocyanatopropionate,74.97%,M12-5
22.435,9.37E+03,"d-Glucose, 4-O-[6-deoxy-2,3,4-tris-O-(trimethylsilyl)-à-l-mannopyranosyl]-2,3,5,6-tetrakis-O-(trimethylsilyl)-",53.16%,M12-5
8.8966,9.00E+03,3-Methyl-1-trihexylsilyloxybenzene,68.60%,M12-5
9.5296,8.95E+03,"1,3-Propanediol",56.89%,M12-5
7.5632,8.60E+03,"Adipic acid, di(3-(2-methoxyethyl)heptyl) ester",44.52%,M12-5
11.5532,8.43E+03,"6H-Dibenzo[b,d]pyran-6-one, 7,9-dihydroxy-3-methoxy-1-methyl-",74.43%,M12-5
8.5023,8.18E+03,"1-Propanol, 2,2-dimethyl-1,3-diphenyl-3-(p-tolylamino)-",60.50%,M12-5
18.1188,8.09E+03,"3-(Benzylideneamino)-1H-1,2,4-triazole",40.46%,M12-5
16.1359,8.05E+03,"N,N,N',o-Tetra-(trimethylsilyl)tryptophane",71.58%,M12-5
8.1235,7.99E+03,"Hexane, 2,5-dimethyl-2,5-bis(trimethylsilyloxy)-",57.26%,M12-5
9.6697,7.89E+03,"l-Alanine, N-(2-methoxyethoxycarbonyl)-, heptyl ester",60.56%,M12-5
23.1856,7.82E+03,8-Chloro-5-quinolinecarboxylic acid,59.74%,M12-5
11.4131,7.71E+03,"Acetic acid, chloro-",49.26%,M12-5
9.073,7.52E+03,"8-Methoxy-2-(p-methoxyphenyl)-1,2,4,5-tetrahydro-1-benzazocine-3,6-dione",53.90%,M12-5
8.4764,7.33E+03,"1,3-Cyclohexadiene, 5-(1,1-dimethylethyl)-",50.50%,M12-5
12.4249,7.27E+03,"Cholestan-6-one, 3-(acetyloxy)-, cyclic 1,2-ethanediyl acetal, (3á,5à)-",58.72%,M12-5
19.5388,7.10E+03,"Hexanamide, 6-(2-oxocyclopentyl)-N-phenyl-",65.12%,M12-5
15.3102,6.79E+03,N-Acridin-9-yl-N'-(3-chloro-phenyl)-hydrazine,56.09%,M12-5
7.8848,6.58E+03,"Benzoic acid, 4-methyl-, [4-(5-oxo-1-phenyl-3-pyrrolidinylcarbonylamino)phenyl] ester",81.48%,M12-5
11.6051,6.43E+03,"1,3-Benzenediol, o-chloroacetyl-o'-heptafluorobutyryl-",67.11%,M12-5
21.0213,6.38E+03,"1-Phenyl-3,5,6-trimethyl-7-methoxy-6H-pyrazolo(3,4-b)(1,4)diazepine",50.01%,M12-5
10.2716,6.26E+03,"Isoxazole-4-carboxamide, 3-(2-chlorophenyl)-5-methyl-N-(3-pyridylmethyl)-",44.39%,M12-5
9.2806,6.15E+03,"Furan, 2,2'-[1,2-ethanediylbis(oxy)]bis[tetrahydro-5-(2-methoxy-4-methylphenyl)-5-methyl-",60.90%,M12-5
10.5726,6.08E+03,"Pyridine, 3-methyl-2,6-diphenyl-",50.70%,M12-5
7.7188,6.07E+03,"Silane, dimethyl(2-ethylhexyloxy)ethoxy-",57.26%,M12-5
24.1301,5.89E+03,"3-Methoxybenzylamine, N,N-didecyl-",48.15%,M12-5
22.2848,5.76E+03,"Phthalic acid, cyclobutyl isobutyl ester",63.52%,M12-5
12.5494,5.67E+03,2-Dimethyldodecylsilyloxynaphthalene,44.01%,M12-5
6.4424,5.66E+03,"Furane-2-carboxaldehyde, 5-(4-nitrophenoxymethyl)-",59.72%,M12-5
24.8307,5.41E+03,"2-Oxazolidinone, 3,3'-(1,4-phenylene)bis[5-phenyl-",40.09%,M12-5
24.0176,5.38E+03,Tetrahydropyran Z-10-dodecenoate,45.44%,M12-5
7.1948,5.32E+03,3-(2'-Chloro-4'-(trimethylsilyloxy)phenyl)-2-methyl-4(3H)-quinazolinone,47.15%,M12-5
7.6773,5.30E+03,"2-Piperidinecarboxylic acid, methyl ester, PFP",73.10%,M12-5
10.7749,5.28E+03,"1-Propanol, 2-methyl-3-(tributylstannyl)-",40.97%,M12-5
10.0745,5.25E+03,"Benzoic acid, 4-methoxy-, trimethylsilyl ester",65.06%,M12-5
11.8386,5.21E+03,Isophosphinoline,42.33%,M12-5
10.4532,5.07E+03,"Butane, 2-azido-2,3,3-trimethyl-",49.50%,M12-5
20.6147,5.05E+03,"2H-1,2,3-Triazole-4-carboxaldehyde, 2-(2-fluorophenyl)-",88.61%,M12-5
16.2985,5.01E+03,"Benzene, iodo-",79.35%,M12-5
12.124,4.92E+03,"Benzoic acid, 2,3-bis[(trimethylsilyl)oxy]-, trimethylsilyl ester",96.70%,M12-5
22.191,4.88E+03,(4-Bromo-phenyl)-(6-methyl-4-phenyl-quinazolin-2-yl)-amine,40.87%,M12-5
13.7636,4.86E+03,"Benzenebutanoic acid, 4-hydroxy-, methyl ester",91.07%,M12-5
13.8673,4.86E+03,"Phenol, 4-[(5,6,7,8-tetrahydro-6-methyl-1,3-dioxolo[4,5-g]isoquinolin-5-yl)methyl]-, (R)-",54.53%,M12-5
10.4117,4.84E+03,"6-Chloro-4-methyl-2-oxo-2H-chromen-7-yl N,N-dimethylcarbamate",43.74%,M12-5
7.5891,4.76E+03,"1-Iodo-2,3-epoxypropane",51.66%,M12-5
22.6914,4.75E+03,Methyl 7à-methoxy-3-oxo-5á-cholanoate,40.72%,M12-5
23.8236,4.74E+03,"3,7,10-Trimethyl-4,9-dioxo-4,8,9,10-H-as-triazino(4,3-b)triazepine-1,2,4",47.16%,M12-5
24.7932,4.74E+03,"2,4-Cyclopentadiene-1,2,3,4-tetracarboxylic acid, 5-(4-bromo-2-quinolinyl)-, tetramethyl ester",46.71%,M12-5
8.7306,4.73E+03,"Furo[2,3-H]coumarine, 1,2-dihydro-6-methyl-1-oxo-2-phenylhydrazono-",50.54%,M12-5
23.5484,4.72E+03,"2,4-Diphenyl-11H-pyrimido[4,5-b]benzo[e]indole",40.04%,M12-5
12.482,4.65E+03,"3-Methoxybenzylamine, N,N-diundecyl-",51.82%,M12-5
21.947,4.55E+03,"1,1-Di(trifluoromethyl)ethyl cyanate",68.82%,M12-5
10.2457,4.48E+03,"3,3,6,6-Tetramethyl-1,2,3,4,5,6,7,8-octahydroacridine",51.50%,M12-5
22.6351,4.47E+03,"2,6-Difluoro-3-methylbenzoic acid, nonadecyl ester",45.44%,M12-5
14.8584,4.42E+03,"Hexanoic acid, 6-(4-cyanophenyl)-2-naphthalenyl ester",52.59%,M12-5
21.6343,4.38E+03,dl-Alanyl-dl-phenylalanine,42.04%,M12-5
9.348,4.37E+03,"Benzoic acid, 4-(4-pentylcyclohexyl)-, 4'-cyano[1,1'-biphenyl]-4-yl ester",56.30%,M12-5
20.4333,4.37E+03,14-á-Cholest-8-en-11-one,65.52%,M12-5
8.8084,4.34E+03,"3-Oxa-bicyclo[3.2.0]hept-6-ene-2,4-dione",65.81%,M12-5
10.5103,4.29E+03,"2-Fluorobenzylamine, diundecyl",72.06%,M12-5
12.6688,4.27E+03,"1-(4-Methylbenzoyl)-2,3-diphenyl-cyclopropane",70.34%,M12-5
12.0254,4.23E+03,1-[p-Nitrophenyl]-3-[2-pyrimidyl]urea,53.00%,M12-5
23.3482,4.17E+03,"4-(Fluoromethyl)-5-methyl-2-phenyl-2H-1,2,3-triazole",53.74%,M12-5
24.3991,4.14E+03,"2,2'-Methylenebis[5-(4-bromophenyl)-1,3,4-oxadiazole]",41.32%,M12-5
7.6877,4.13E+03,"3-Hexene, 1-(1-ethoxyethoxy)-, (Z)-",76.37%,M12-5
24.249,4.08E+03,"3,5-Pyrazolidinedione, 4-nitro-1,2-diphenyl-",61.25%,M12-5
21.334,4.02E+03,"Silane, dimethyl(3-ethylphenoxy)docosyloxy-",52.08%,M12-5
22.6039,4.01E+03,N-Carbobenzyloxy-l-phenylalanylglycine methyl ester,42.30%,M12-5
18.9257,4.00E+03,"Benzoic acid, 3-(5-chloro-2-methoxybenzoyl)-4-hydroxy-",73.90%,M12-5
16.5174,4.00E+03,"2-Naphthoic acid, 6-hydroxy-5,7-dimethoxy-, acetate",41.34%,M12-5
9.3221,3.85E+03,"Heptafluorobutyric acid, 3,5-dimethylphenyl ester",48.48%,M12-5
11.3301,3.85E+03,"Diaziridine, tetrafluoro-",67.73%,M12-5
9.7631,3.80E+03,"2H-10,1a-(Epoxymethano)oxireno[4,5]cyclodeca[1,2-b]furan-12-one, 3,6,10,10a-tetrahydro-5,9-dimethyl-, [1aS-(1aR*,4E,10R*,10aR*)]-",41.75%,M12-5
22.5788,3.79E+03,"(2R,3S)-2,3-trans-3-Acetoxy-6-[(2R,3S,4S)-2,3-trans-3,4-cis-3-acetoxy-3',4',7,8-tetramethoxyflavane-4-yl]-3',4',5,7-tetramethoxyflavane",40.19%,M12-5
21.1213,3.70E+03,"9H-Purin-6-amine, 9-[4-(phenylmethoxy)-3-[(phenylmethoxy)methyl]butyl]-",70.70%,M12-5
9.4311,3.69E+03,"3,4-Dibromo-3,4-dihydro-2H-phenanthro[9,10-b]pyran",69.30%,M12-5
6.3853,3.66E+03,"Arsorane, pentamethoxy-",41.20%,M12-5
24.6368,3.65E+03,"L-Aspartic acid, N-(2,4-dinitrophenyl)-",43.59%,M12-5
18.3252,3.59E+03,"Silane, [(6a,7,8,10a-tetrahydro-6,6,9-trimethyl-3-pentyl-6H-dibenzo[b,d]pyran-1,8-diyl)bis(oxy)]bis[dimethylphenyl-, [6ar-(6aà,8á,10aá)]-",62.62%,M12-5
22.141,3.52E+03,3-Hydroxy-2-methyl-3-phenylbutyric acid methyl ester,67.25%,M12-5
21.9095,3.35E+03,"1,6-Diphosphecane, 1,6-bis(phenylmethyl)-",67.70%,M12-5
23.4358,3.29E+03,"1-Naphthalenepentanoic acid, á,á-dimethyl-ë-oxo-",56.79%,M12-5
11.2419,3.27E+03,"2,6-Pyridinediol, 3-[(o-hydroxyphenyl)azo]-",60.95%,M12-5
25.8504,3.23E+03,"Benzoic acid, 2,4-dihydroxy-, (3-diethylamino-1-methyl)propyl ester",57.45%,M12-5
14.3291,3.19E+03,"l-Alanine, N-valeryl-, undec-10-enyl ester",85.87%,M12-5
24.6806,3.17E+03,"1-Naphthalenepentanoic acid, á,á-dimethyl-ë-oxo-",55.03%,M12-5
8.9174,3.11E+03,"1-Ethyl-2,2-dimethylpropyl isopropylphosphonofluoridate",53.52%,M12-5
12.8608,3.09E+03,"d-Proline, N-benzyloxycarbonyl-, propyl ester",77.23%,M12-5
24.1552,3.08E+03,"2,6-Difluoro-3-methylbenzoic acid, nonadecyl ester",51.64%,M12-5
12.8971,3.08E+03,1-Phenyl-4-[5-nitrothiazol-2-yl]piperazine,71.90%,M12-5
25.6001,3.03E+03,"2-Thiazolamine, N-[2-(3,4-dimethoxyphenyl)ethyl]-4-(4-fluorophenyl)-",47.37%,M12-5
22.9542,2.98E+03,"4H-1-Benzopyran-4-one, 3,5,6,7,8-pentamethoxy-2-(3,4,5-trimethoxyphenyl)-",48.35%,M12-5
24.0989,2.97E+03,"6H-Indolo[2,3-b]quinoxaline, 6-benzyl-9-fluoro-",60.85%,M12-5
20.7648,2.97E+03,"2-Phenyl-2-(phenylcarbamoyl)indan-1,3-dione",62.40%,M12-5
9.9811,2.84E+03,"Benzene, 2,4-diiodo-1,3,5-trimethyl-",49.40%,M12-5
9.457,2.82E+03,"1-Pentene, 4,4-dimethyl-1,3-diphenyl-1-(trimethylsilyloxy)-",66.13%,M12-5
22.9104,2.76E+03,"2H-Pyran, 2,5-diethenyltetrahydro-",50.83%,M12-5
24.9058,2.74E+03,"2,6-Difluoro-3-methylbenzoic acid, nonadecyl ester",51.32%,M12-5
24.4992,2.73E+03,"á,î-Carotene",48.21%,M12-5
9.2702,2.72E+03,Trimethylamine,73.65%,M12-5
10.6452,2.69E+03,1-(Anilinomethylene)-2-indanone,67.70%,M12-5
25.5501,2.65E+03,"D-Norleucine, N-ethoxycarbonyl-, tetradecyl ester",61.98%,M12-5
6.4113,2.63E+03,Benzofenac methyl ester,70.60%,M12-5
21.6093,2.57E+03,"Sulfurous acid, octadecyl 2-propyl ester",63.26%,M12-5
14.7338,2.55E+03,"Pregna-1,4-diene-3,11,20-trione, 21-chloro-9-fluoro-17-hydroxy-16-methyl-, (16á)-",47.20%,M12-5
14.2098,2.54E+03,"Acetic acid, 7,7,10a,12a-tetramethyl-2,5-dioxo-1,2,3,4,4a,4b,5,7,8,9,10,10a,10b,11,12,12a-hexadecahydro-1-azachrysen-8-yl ester",42.91%,M12-5
11.1848,2.53E+03,"2,2'-Ditrimethylsiloxybiphenyl",47.82%,M12-5
25.45,2.50E+03,5-Benzylidene-3-(p-toluoyl)rhodanine,44.88%,M12-5
24.4241,2.50E+03,"Silane, dimethyl-2-propenyl[(6a,7,8,10a-tetrahydro-6,6,9-trimethyl-3-pentyl-6H-dibenzo[b,d]pyran-1-yl)oxy]-, (6aR-trans)-",40.04%,M12-5
25.2624,2.50E+03,Bromopropylate,46.88%,M12-5
8.6009,2.49E+03,"Vanadium, cyclopentadienyl-indenyl-",67.06%,M12-5
25.9254,2.43E+03,"Succinic acid, heptadecyl tetrahydrofurfuryl ester",41.64%,M12-5
25.1498,2.42E+03,"2,6-Difluoro-3-methylbenzoic acid, nonadecyl ester",49.52%,M12-5
24.4554,2.41E+03,"Iodobis(N,N-diethyldithiocarbamato)bismuthine",43.56%,M12-5
19.5575,2.39E+03,"3-Methoxy-6-phenyl-5-oxo-4,5-dihydro-1,2,4-triazine",76.59%,M12-5
26.2382,2.34E+03,"L-Glutamic acid, N-[(1,1-dimethylethoxy)carbonyl]-, 5-(phenylmethyl) ester",52.91%,M12-5
13.4315,2.34E+03,"2,4-Diamino-5-methyl-6-[2-naphthylthioacetamido]quinazoline",66.52%,M12-5
12.5702,2.31E+03,1-(4-Nitroanilinomethylene)-2-indanone,50.00%,M12-5
14.3655,2.29E+03,"Phenylacetic acid, 2,2,3,3,4,4,4-heptafluorobutyl ester",60.98%,M12-5
15.9857,2.25E+03,"2H-1-Benzopyran-2-one, 4,5,7-trimethoxy-3-(4-methoxyphenyl)-",67.51%,M12-5
8.3518,2.16E+03,"2,5,8-Triphenyl benzotristriazole",58.97%,M12-5
22.8916,2.14E+03,"l-Proline, N-ethoxycarbonyl-, undec-10-enyl ester",56.04%,M12-5
11.7452,2.14E+03,"1,6-Naphthyridin-4(1H)-one, 1-benzyl-5-trifluoromethyl-",54.10%,M12-5
16.5988,2.14E+03,6-Methoxy-5-nitro-8-[N-[4-phthalimido-1-methylbutyl]acetamido]quinoline,77.27%,M12-5
21.2339,2.13E+03,"Benzenacetamide, N-allyl-",44.37%,M12-5
6.9509,2.11E+03,"Phenol, 2,5-dinitro-",40.15%,M12-5
9.0108,2.01E+03,"2-Propyn-1-ol, propionate",60.30%,M12-5
22.8603,1.99E+03,"Diazene, methylphenyl-, 1-oxide, (Z)-",58.88%,M12-5
18.7381,1.92E+03,"Phthalic acid, di(2-chlorophenyl) ester",42.89%,M12-5
25.7127,1.87E+03,"1,3-Propanediol, 2-nitro-2-[(nitrooxy)methyl]-, dinitrate (ester)",47.39%,M12-5
8.4504,1.84E+03,"Pseudoephedrine, N,O-bis(heptafluorobutyryl) deriv.",70.55%,M12-5
23.7799,1.78E+03,"Ethanethioic acid, S-[3-(acetyloxy)-1-[4-(acetyloxy)-3-methoxyphenyl]-2-(2-methoxyphenoxy)propyl] ester",48.21%,M12-5
26.0505,1.75E+03,"1H-Pyrazole-1-acetamide, N-(2-ethoxyphenyl)-4-iodo-",51.35%,M12-5
25.4813,1.74E+03,"Acetamide, 2-(4-iodo-1H-pyrazol-1-yl)-N-(4-ethoxycarbonyl)phenyl-",48.99%,M12-5
26.4509,1.68E+03,"2,6-Difluoro-3-methylbenzoic acid, nonadecyl ester",49.33%,M12-5
22.7102,1.65E+03,"d-Proline, N-ethoxycarbonyl-, dodecyl ester",56.23%,M12-5
23.5922,1.63E+03,d-Ribopyranose 1-O-benzoate,57.48%,M12-5
25.3499,1.63E+03,"Benzenesulfonamide, N-(3-aminopropyl)-4-methyl-N-[3-[[(4-methylphenyl)sulfonyl][3-(2-oxoazacyclotridec-1-yl)propyl]amino]propyl]-",41.99%,M12-5
25.6377,1.62E+03,"Benzyl 2,3,4-O-tribenzyl-á-d-glucopyranoside",57.51%,M12-5
25.6252,1.60E+03,"2,6-Difluoro-3-methylbenzoic acid, nonadecyl ester",46.98%,M12-5
21.9783,1.60E+03,"Cobalt, cyclopentadienyl-bis(cyclooctene)",58.06%,M12-5
26.2069,1.59E+03,6-Methoxy-4-methyl-8-nitro-5-[6-[3-trifluoromethylphenyl]hexoxy]quinoli,43.38%,M12-5
25.8191,1.58E+03,"Octatriacontane, 3,5-dimethyl-",40.94%,M12-5
25.0121,1.52E+03,"L-Glutamic acid, N-[(phenylmethoxy)carbonyl]-",56.96%,M12-5
24.568,1.51E+03,"Methanone, [4-[[4-[2-(4-methoxyphenyl)ethenyl]phenyl]azo]phenyl]phenyl-",47.53%,M12-5
19.7139,1.44E+03,"Furazan, 3,4-bis(chloroacetylamino)-",52.33%,M12-5
23.317,1.43E+03,4-Chloro-N-(4-hydroxy-5-isopropyl-2-methyl-phenyl)-benzenesulfonamide,49.04%,M12-5
22.4725,1.39E+03,"L-Proline, N-(2-fluorobenzoyl)-, hexadecyl ester",46.46%,M12-5
22.9854,1.35E+03,"Sarcosylsarcosine, n-heptafluorobutyryl-, tetradecyl ester",41.57%,M12-5
