RT,Area,Metabolite,Confidence,SampleID,plant,time,species,adonitol,nm area
8.7515,40505,"Hexasiloxane, tetradecamethyl-",0.8773,M7-1,7,1,yf,1.24,32665.32258
8.7515,62547,"Hexasiloxane, tetradecamethyl-",0.8789,M7-4,7,4,yf,0.985,63499.49239
8.7515,59157,"Hexasiloxane, tetradecamethyl-",0.8097,M8-1,8,1,yf,0.94,62932.97872
8.7515,62523,"Hexasiloxane, tetradecamethyl-",0.8672,M8-2,8,2,yf,0.957,65332.2884
8.7515,65826,"Hexasiloxane, tetradecamethyl-",0.9198,M9-4,9,4,yf,0.874,75315.78947
8.7515,52974,"Hexasiloxane, tetradecamethyl-",0.8493,M9-5,9,5,yf,1.03,51431.06796
8.7515,66610,"Hexasiloxane, tetradecamethyl-",0.8082,M10-1,10,1,yf,1.07,62252.33645
8.7515,113298,"Hexasiloxane, tetradecamethyl-",0.9003,M11-2,11,2,ya,0.933,121434.0836
8.7515,429480,"Hexasiloxane, tetradecamethyl-",0.9581,M11-4,11,4,ya,0.786,546412.2137
8.7515,61314,"Hexasiloxane, tetradecamethyl-",0.8142,M12-1,12,1,yf,1.11,55237.83784
8.7516,53185,"Hexasiloxane, tetradecamethyl-",0.8846,M2-1,2,1,yf,1.26,42210.31746
8.7516,129016,"Hexasiloxane, tetradecamethyl-",0.9132,M3-2,3,2,ya,0.959,134531.804
8.7516,76669,"Hexasiloxane, tetradecamethyl-",0.9244,M5-2,5,2,ya,0.945,81131.21693
8.7516,211850,"Hexasiloxane, tetradecamethyl-",0.8247,M6-1,6,1,ya,1.21,175082.6446
8.7516,3079,"Bis-S-triazolo[4,3-b,3',4'-f]pyridazine, 3,3'-dimethyl",0.5087,M8-4,8,4,yf,1.01,3048.514851
8.7516,41191,"Hexasiloxane, tetradecamethyl-",0.7948,M9-2,9,2,yf,1.25,32952.8
8.7516,62667,"Hexasiloxane, tetradecamethyl-",0.858,M12-4,12,4,yf,0.947,66174.23442
8.7565,146881,"Hexasiloxane, tetradecamethyl-",0.8276,M1-1,1,1,ya,1.05,139886.6667
8.7565,390019,"Hexasiloxane, tetradecamethyl-",0.961,M10-5,10,5,yf,0.73,534272.6027
8.7565,144254,"Hexasiloxane, tetradecamethyl-",0.9366,M12-5,12,5,yf,1.01,142825.7426
8.7566,75155,"Hexasiloxane, tetradecamethyl-",0.8607,M1-5,1,5,ya,1.08,69587.96296
8.7566,238619,"Hexasiloxane, tetradecamethyl-",0.9517,M10-2,10,2,yf,0.923,258525.4605
8.7567,113338,"Hexasiloxane, tetradecamethyl-",0.9124,M1-4,1,4,ya,0.736,153991.8478
8.7567,115229,"Hexasiloxane, tetradecamethyl-",0.8906,M3-4,3,4,ya,0.926,124437.365
8.7567,550189,"Hexasiloxane, tetradecamethyl-",0.6637,M4-1,4,1,ya,1.32,416809.8485
8.7567,181558,"Hexasiloxane, tetradecamethyl-",0.8477,M4-4,4,4,ya,0.59,307725.4237
8.7568,41464,"Hexasiloxane, tetradecamethyl-",0.7866,M8-4,8,4,yf,1.01,41053.46535
8.7617,388004,"Nonanoic acid, trimethylsilyl ester",0.629,M4-3,4,3,ya,1.08069455,359032.0689
8.7618,957277,"D-(-)-Citramalic acid, bis(trimethylsilyl) ester",0.6451,M1-6,1,6,ya,1.065342613,898562.5738
8.7618,389179,"Nonanoic acid, trimethylsilyl ester",0.7263,M2-6,2,6,yf,1.073152649,362650.1789
8.7618,456867,"Nonanoic acid, trimethylsilyl ester",0.6139,M4-6,4,6,ya,1.134936486,402548.5174
8.7618,511089,"Nonanoic acid, trimethylsilyl ester",0.6965,M11-3,11,3,ya,1.052280991,485696.3153
8.7619,10558,"2-Methoxyethanol, triisobutylsilyl ether",0.6742,M7-4,7,4,yf,0.985,10718.78173
8.762,490541,1-Pentamethyldisilyloxydecane,0.6173,M5-3,5,3,ya,1.117931054,438793.6074
8.762,304550,"Nonanoic acid, trimethylsilyl ester",0.776,M12-3,12,3,yf,1.069914829,284648.8261
8.7669,571950,"Nonanoic acid, trimethylsilyl ester",0.6385,M1-3,1,3,ya,1.130067207,506120.3408
8.7669,71589,2-(4'-Methoxyphenyl)-2-(3'-methyl-4'methoxyphenyl)propane,0.5414,M4-3,4,3,ya,1.08069455,66243.50981
8.7669,463931,"Nonanoic acid, trimethylsilyl ester",0.7344,M6-3,6,3,ya,0.991329883,467988.5152
8.7669,229774,"Nonanoic acid, trimethylsilyl ester",0.705,M12-6,12,6,yf,0.921003676,249482.1748
8.767,306055,"Nonanoic acid, trimethylsilyl ester",0.6697,M7-6,7,6,yf,0.978901865,312651.3607
8.767,283916,"Nonanoic acid, trimethylsilyl ester",0.7751,M8-3,8,3,yf,0.958779423,296122.3333
8.767,326070,"Nonanoic acid, trimethylsilyl ester",0.6529,M10-3,10,3,yf,0.904217838,360610.0061
8.7671,515124,"Nonanoic acid, trimethylsilyl ester",0.6863,M3-3,3,3,ya,1.049216459,490960.6548
8.7671,4296,Pentafluoro(difluoroiodomethyl)benzene,0.5913,M4-5,4,5,ya,0.974,4410.677618
8.7671,8281,"Phosphinothioic acid, diphenyl-, O-(2,6-dichloro-4-nitrophenyl) ester",0.5132,M8-1,8,1,yf,0.94,8809.574468
8.7671,180858,tert-Butyl-[2-(tert-butyldimethylsilyl)oxyethoxy]dimethylsilane,0.6337,M11-6,11,6,ya,0.703655099,257026.4896
8.7671,1619,"1,2,4-Triazolo[4,3-a]pyrazine-8-carboxylic acid, 2,3-dihydro-3-oxo-, methyl ester",0.627,M12-4,12,4,yf,0.947,1709.609293
8.7672,682511,2-Pentamethyldisilanyloxypentane,0.6565,M3-6,3,6,ya,0.902066748,756608.091
8.7672,445975,"Nonanoic acid, trimethylsilyl ester",0.6659,M7-3,7,3,yf,1.165711342,382577.5591
8.7721,399259,2-Pentamethyldisilyloxypropane,0.6636,M5-6,5,6,ya,0.652816243,611594.7698
8.7721,427882,"Nonanoic acid, trimethylsilyl ester",0.7409,M9-3,9,3,yf,1.046478288,408878.0482
8.7721,360570,"Nonanoic acid, trimethylsilyl ester",0.6647,M9-6,9,6,yf,1.067246333,337850.7742
8.7722,388468,"Nonanoic acid, trimethylsilyl ester",0.7081,M10-6,10,6,yf,1.004145856,386864.1171
8.7723,250690,"Nonanoic acid, trimethylsilyl ester",0.5854,M2-3,2,3,yf,1.027223171,244046.2862
8.7723,997894,"Nonanoic acid, trimethylsilyl ester",0.8729,M6-6,6,6,ya,0.872489243,1143732.152
8.7723,7227,3-Chloro-4-(4-iodo-benzyloxy)-5-methoxy-benzaldehyde,0.5145,M9-1,9,1,yf,1.08,6691.666667
8.7723,234318,"Nonanoic acid, trimethylsilyl ester",0.595,M11-6,11,6,ya,0.703655099,333001.2108
8.7724,8231,Pentafluoro(difluoroiodomethyl)benzene,0.5798,M6-1,6,1,ya,1.21,6802.479339
8.7773,153912,"Octanoic acid, di(isopropyl)silyl ester",0.6158,M5-6,5,6,ya,0.652816243,235766.1924
8.7773,7176,"Phosphinodithioic acid, diphenyl-, 2-amino-2-oxoethyl ester",0.6405,M8-5,8,5,yf,1.19,6030.252101
8.7774,12651,"2-Methoxyethanol, triisobutylsilyl ether",0.5304,M7-5,7,5,yf,1.01,12525.74257
8.7774,3546,(+)-2-Amino-4-(phenylacetamido)butyric acid,0.895,M11-2,11,2,ya,0.933,3800.643087
8.7775,9515,"Phosphinodithioic acid, diphenyl-, 2-amino-2-oxoethyl ester",0.5,M2-1,2,1,yf,1.26,7551.587302
8.7775,6260,"à-DL-Lyxofuranoside, methyl 2,3,5-tris-O-(trimethylsilyl)-",0.6842,M5-2,5,2,ya,0.945,6624.338624
8.7775,16057,"2-Methoxyethanol, triisobutylsilyl ether",0.5403,M5-5,5,5,ya,0.928,17302.80172
8.7824,83045,2-(4'-Methoxyphenyl)-2-(3'-methyl-4'methoxyphenyl)propane,0.6821,M6-3,6,3,ya,0.991329883,83771.30704
8.7877,8254,"Phosphinodithioic acid, diphenyl-, 2-amino-2-oxoethyl ester",0.5199,M4-2,4,2,ya,1.09,7572.477064
8.7877,6125,"2,4-Pentanedione, 1-(7-acetyl-4,6-dihydroxy-3,5-dimethyl-2-benzofuranyl)-",0.5157,M10-2,10,2,yf,0.923,6635.969664
8.7878,263342,"Benzoic acid, 4-(4-ethylcyclohexyl)-, 4-butoxy-2,3-dicyanophenyl ester",0.5919,M1-6,1,6,ya,1.065342613,247189.9621
8.7878,18148,"1,3-Butadiyne",0.6711,M7-4,7,4,yf,0.985,18424.36548
8.7878,4675,"2,4-Pentanedione, 1-(7-acetyl-4,6-dihydroxy-3,5-dimethyl-2-benzofuranyl)-",0.5093,M11-4,11,4,ya,0.786,5947.83715
8.7879,9043,1-Diphenyl(tert-butyl)silyloxy-4-nitrobenzene,0.5111,M6-1,6,1,ya,1.21,7473.553719
8.7928,4601,"fumaric acid, butyl 2-isopropoxyphenyl ester",0.6099,M1-1,1,1,ya,1.05,4381.904762
8.793,17196,"2'-Phenyl-2,4'-m-phenylenedithiazole",0.5121,M4-1,4,1,ya,1.32,13027.27273
8.793,2273,"4(1H)-Pteridinone, 2-amino-",0.612,M7-1,7,1,yf,1.24,1833.064516
8.7931,4258,4-Fluoro-2-(trifluoromethyl)benzoyl chloride,0.6676,M4-4,4,4,ya,0.59,7216.949153
8.8084,4448,"Ethene, ethoxy-",0.7476,M4-2,4,2,ya,1.09,4080.733945
8.8084,4342,"3-Oxa-bicyclo[3.2.0]hept-6-ene-2,4-dione",0.6581,M12-5,12,5,yf,1.01,4299.009901
8.8085,347268,"Hexasiloxane, tetradecamethyl-",0.527,M4-6,4,6,ya,1.134936486,305980.1179
8.8086,761543,"N,O,O-Tris(trimethylsilyl)-L-threonine",0.8415,M9-1,9,1,yf,1.08,705132.4074
8.8087,120484,L-THREONINE,0.7919,M2-4,2,4,yf,0.947,127227.0327
8.8136,989615,"2(3H)-Furanone, dihydro-3,4-bis[(trimethylsilyl)oxy]-, trans-",0.8791,M1-2,1,2,ya,1.02,970210.7843
8.8136,272310,"2(3H)-Furanone, dihydro-3,4-bis[(trimethylsilyl)oxy]-, trans-",0.8433,M5-1,5,1,ya,0.973,279866.3926
8.8136,1624238,"N,O,O-Tris(trimethylsilyl)-L-threonine",0.8463,M8-5,8,5,yf,1.19,1364905.882
8.8137,578029,"2(3H)-Furanone, dihydro-3,4-bis[(trimethylsilyl)oxy]-, trans-",0.781,M7-2,7,2,yf,1.23,469942.2764
8.8137,485153,"2(3H)-Furanone, dihydro-3,4-bis[(trimethylsilyl)oxy]-, trans-",0.7991,M12-2,12,2,yf,1.17,414660.6838
8.8138,1228160,"N,O,O-Tris(trimethylsilyl)-L-threonine",0.8594,M2-1,2,1,yf,1.26,974730.1587
8.8138,96001,"2(3H)-Furanone, dihydro-3,4-bis[(trimethylsilyl)oxy]-, trans-",0.6652,M2-4,2,4,yf,0.947,101373.812
8.8138,1389432,[6288] L-threonine 2 [11.464],0.89,M8-1,8,1,yf,0.94,1478119.149
8.8138,665270,"N,O,O-Tris(trimethylsilyl)-L-threonine",0.8655,M8-2,8,2,yf,0.957,695161.9645
8.8138,315278,"2(3H)-Furanone, dihydro-3,4-bis[(trimethylsilyl)oxy]-, trans-",0.8611,M11-1,11,1,ya,1.05,300264.7619
8.8138,410423,"2(3H)-Furanone, dihydro-3,4-bis[(trimethylsilyl)oxy]-, trans-",0.8802,M11-5,11,5,ya,0.976,420515.3689
8.8188,331878,"2(3H)-Furanone, dihydro-3,4-bis[(trimethylsilyl)oxy]-, trans-",0.8217,M3-1,3,1,ya,0.949,349713.3825
8.8188,263625,"2(3H)-Furanone, dihydro-3,4-bis[(trimethylsilyl)oxy]-, trans-",0.883,M3-5,3,5,ya,0.892,295543.722
8.8188,348788,"2(3H)-Furanone, dihydro-3,4-bis[(trimethylsilyl)oxy]-, trans-",0.8854,M6-5,6,5,ya,0.964,361813.278
8.8189,318395,"N,O,O-Tris(trimethylsilyl)-L-threonine",0.7436,M2-2,2,2,yf,1.01,315242.5743
8.8189,994891,"2(3H)-Furanone, dihydro-3,4-bis[(trimethylsilyl)oxy]-, trans-",0.8545,M2-5,2,5,yf,0.825,1205928.485
8.8189,176440,"Hexasiloxane, tetradecamethyl-",0.6338,M2-6,2,6,yf,1.073152649,164412.7704
8.8189,496007,"2(3H)-Furanone, dihydro-3,4-bis[(trimethylsilyl)oxy]-, trans-",0.8812,M4-5,4,5,ya,0.974,509247.4333
8.8189,311551,"2(3H)-Furanone, dihydro-3,4-bis[(trimethylsilyl)oxy]-, trans-",0.7937,M7-1,7,1,yf,1.24,251250.8065
8.8189,540400,"2(3H)-Furanone, dihydro-3,4-bis[(trimethylsilyl)oxy]-, trans-",0.8763,M7-5,7,5,yf,1.01,535049.505
8.8189,308976,"2(3H)-Furanone, dihydro-3,4-bis[(trimethylsilyl)oxy]-, trans-",0.7557,M9-4,9,4,yf,0.874,353519.4508
8.8189,448991,"2(3H)-Furanone, dihydro-3,4-bis[(trimethylsilyl)oxy]-, trans-",0.8575,M9-5,9,5,yf,1.03,435913.5922
8.8189,286131,[6288] L-threonine 2 [11.464],0.7552,M10-4,10,4,yf,1.05,272505.7143
8.819,421897,"2(3H)-Furanone, dihydro-3,4-bis[(trimethylsilyl)oxy]-, trans-",0.8887,M5-5,5,5,ya,0.928,454630.3879
8.819,819527,"2(3H)-Furanone, dihydro-3,4-bis[(trimethylsilyl)oxy]-, trans-",0.8954,M6-2,6,2,ya,0.936,875563.0342
8.819,350981,"2(3H)-Furanone, dihydro-3,4-bis[(trimethylsilyl)oxy]-, trans-",0.8423,M7-4,7,4,yf,0.985,356325.8883
8.819,1811514,"N,O,O-Tris(trimethylsilyl)-L-threonine",0.8497,M8-4,8,4,yf,1.01,1793578.218
8.819,498630,"2(3H)-Furanone, dihydro-3,4-bis[(trimethylsilyl)oxy]-, trans-",0.7822,M9-2,9,2,yf,1.25,398904
8.819,551063,"N,O,O-Tris(trimethylsilyl)-L-threonine",0.8013,M10-1,10,1,yf,1.07,515012.1495
8.819,934585,"2(3H)-Furanone, dihydro-3,4-bis[(trimethylsilyl)oxy]-, trans-",0.7951,M12-1,12,1,yf,1.11,841968.4685
8.819,524209,"2(3H)-Furanone, dihydro-3,4-bis[(trimethylsilyl)oxy]-, trans-",0.9017,M12-4,12,4,yf,0.947,553546.9905
8.8191,706653,"2(3H)-Furanone, dihydro-3,4-bis[(trimethylsilyl)oxy]-, trans-",0.8678,M3-2,3,2,ya,0.959,736864.4421
8.8239,52521,"Hexasiloxane, tetradecamethyl-",0.7584,M6-3,6,3,ya,0.991329883,52980.3458
8.8239,374224,"N,O,O-Tris(trimethylsilyl)-L-threonine",0.7498,M10-5,10,5,yf,0.73,512635.6164
8.824,382869,"2(3H)-Furanone, dihydro-3,4-bis[(trimethylsilyl)oxy]-, trans-",0.8714,M1-1,1,1,ya,1.05,364637.1429
8.824,75178,"Hexasiloxane, tetradecamethyl-",0.6728,M1-3,1,3,ya,1.130067207,66525.24692
8.824,467632,"2(3H)-Furanone, dihydro-3,4-bis[(trimethylsilyl)oxy]-, trans-",0.894,M1-5,1,5,ya,1.08,432992.5926
8.824,1278334,"2(3H)-Furanone, dihydro-3,4-bis[(trimethylsilyl)oxy]-, trans-",0.8986,M4-2,4,2,ya,1.09,1172783.486
8.824,76915,"Hexasiloxane, tetradecamethyl-",0.6528,M9-3,9,3,yf,1.046478288,73498.89707
8.824,72991,"Hexasiloxane, tetradecamethyl-",0.7076,M9-6,9,6,yf,1.067246333,68391.89578
8.824,312953,"2(3H)-Furanone, dihydro-3,4-bis[(trimethylsilyl)oxy]-, trans-",0.7679,M10-2,10,2,yf,0.923,339060.6717
8.824,285698,"2(3H)-Furanone, dihydro-3,4-bis[(trimethylsilyl)oxy]-, trans-",0.8442,M12-5,12,5,yf,1.01,282869.3069
8.8241,744708,"2(3H)-Furanone, dihydro-3,4-bis[(trimethylsilyl)oxy]-, trans-",0.9142,M1-4,1,4,ya,0.736,1011831.522
8.8241,832173,"2(3H)-Furanone, dihydro-3,4-bis[(trimethylsilyl)oxy]-, trans-",0.913,M3-4,3,4,ya,0.926,898674.946
8.8241,879471,"2(3H)-Furanone, dihydro-3,4-bis[(trimethylsilyl)oxy]-, trans-",0.8425,M4-1,4,1,ya,1.32,666265.9091
8.8241,571341,"2(3H)-Furanone, dihydro-3,4-bis[(trimethylsilyl)oxy]-, trans-",0.8994,M5-4,5,4,ya,0.874,653708.238
8.8241,810369,"2(3H)-Furanone, dihydro-3,4-bis[(trimethylsilyl)oxy]-, trans-",0.8986,M6-4,6,4,ya,1.01,802345.5446
8.8241,710887,"2(3H)-Furanone, dihydro-3,4-bis[(trimethylsilyl)oxy]-, trans-",0.9044,M11-2,11,2,ya,0.933,761936.7631
8.8241,514433,"2(3H)-Furanone, dihydro-3,4-bis[(trimethylsilyl)oxy]-, trans-",0.8913,M11-4,11,4,ya,0.786,654494.9109
8.8242,84155,"Hexasiloxane, tetradecamethyl-",0.664,M3-3,3,3,ya,1.049216459,80207.4722
8.8242,63936,"Hexasiloxane, tetradecamethyl-",0.6912,M3-6,3,6,ya,0.902066748,70877.23847
8.8242,1022015,"2(3H)-Furanone, dihydro-3,4-bis[(trimethylsilyl)oxy]-, trans-",0.8922,M4-4,4,4,ya,0.59,1732228.814
8.8242,586110,"2(3H)-Furanone, dihydro-3,4-bis[(trimethylsilyl)oxy]-, trans-",0.911,M5-2,5,2,ya,0.945,620222.2222
8.8242,568025,"2(3H)-Furanone, dihydro-3,4-bis[(trimethylsilyl)oxy]-, trans-",0.8559,M6-1,6,1,ya,1.21,469442.1488
8.8242,67141,"Hexasiloxane, tetradecamethyl-",0.7614,M6-6,6,6,ya,0.872489243,76953.38426
8.8242,87712,"Hexasiloxane, tetradecamethyl-",0.6534,M11-6,11,6,ya,0.703655099,124651.9781
8.8344,11268,"Carbamic acid, N,N-dimethyl-, 3,4-dimethylphenyl ester",0.8173,M8-5,8,5,yf,1.19,9468.907563
8.8345,7896,"4-(1-Benzyl-1H-tetrazol-5-ylsulfanylmethyl)-6-morpholin-4-yl-[1,3,5]triazin-2-ylamine",0.6489,M9-4,9,4,yf,0.874,9034.324943
8.8346,11495,"6-Thiopyrazolo[3,4-d]pyrimidin-4,6(5H,7H)-dione-3-carboxamide",0.5402,M2-1,2,1,yf,1.26,9123.015873
8.8346,4212,o-n-Butylhydroxylamine,0.5544,M11-1,11,1,ya,1.05,4011.428571
8.8395,18757,1-Cyclohexyldimethylsilyloxy-3-phenylpropane,0.5841,M10-5,10,5,yf,0.73,25694.52055
8.8396,14873,"Anthracene, 9,10-dihydro-9,10-bis[4-(2-methoxyethoxy)-butyl]-",0.5282,M3-1,3,1,ya,0.949,15672.28662
8.8396,10319,"Silane, dimethyl(2-methoxyethoxy)heptadecyloxy-",0.6159,M5-1,5,1,ya,0.973,10605.3443
8.8397,4499,"3-Fluorophenol, triisobutylsilyl ether",0.5308,M4-5,4,5,ya,0.974,4619.096509
8.8398,19596,"3-(5-Methylsulfanyl-[1,3,4]oxadiazol-2-yl)pyridine",0.8415,M8-4,8,4,yf,1.01,19401.9802
8.8448,230501,5-Benzylquinoline,0.601,M4-3,4,3,ya,1.08069455,213289.6849
8.8449,5401,"Phenol, 2-amino-4-tricyclo[3.3.1.1(3,7)]dec-1-yl-",0.748,M4-1,4,1,ya,1.32,4091.666667
8.8449,10571,p-Cyanophenyl p-(2-methylbutoxy)benzoate,0.6544,M11-5,11,5,ya,0.976,10830.94262
8.8449,13423,"succinic acid, isobutyl 2-methylphenyl ester",0.5845,M12-1,12,1,yf,1.11,12092.79279
8.845,59160,"Silane, ethyl-",0.6536,M2-3,2,3,yf,1.027223171,57592.1588
8.845,3459,"Methanone, (3-amino-2-benzofuryl)(4-fluorophenyl)-",0.6182,M9-1,9,1,yf,1.08,3202.777778
8.85,15864,"5,5-Dimethyl-2-(2,2,2-trifluoro-1-trifluoromethylethyl)-4,5-dihydrooxazole",0.6026,M7-2,7,2,yf,1.23,12897.56098
8.85,11768,"1,2-Diphenyl-3-chlorocarbonyl-cyclopropene",0.5549,M12-2,12,2,yf,1.17,10058.11966
8.8501,28733,"Benzothiazole, 2-(o-aminophenyl)-4-methyl-",0.5986,M4-5,4,5,ya,0.974,29500
8.8501,6320,"Pyrido[3,2-d]pyrimidine-2,4(1H,3H)-dione, 1,3-dimethyl-",0.5022,M9-4,9,4,yf,0.874,7231.121281
8.8502,4181,"3-Propyl-6-methyl-1,2,3,4-tetrahydro-ç-carboline",0.5088,M2-1,2,1,yf,1.26,3318.253968
8.8502,8701,"5,5-Dimethyl-2-(2,2,2-trifluoro-1-trifluoromethylethyl)-4,5-dihydrooxazole",0.6533,M2-4,2,4,yf,0.947,9187.961985
8.8551,6792,"1,1,1-Tris(hydroxymethyl)propane, tris(trimethylsilyl) ether",0.7037,M6-5,6,5,ya,0.964,7045.643154
8.8552,5344,"Propanoic acid, 3-(2,5-difluorophenyl)-, propyl ester",0.918,M3-4,3,4,ya,0.926,5771.058315
8.8552,9580,"Isophthalic acid, 2,6-dichlorophenyl propyl ester",0.5676,M3-5,3,5,ya,0.892,10739.91031
8.8552,7922,"5,5-Dichloro-1-phenyl-penta-2,4-dien-1-one",0.5055,M5-4,5,4,ya,0.874,9064.073227
8.8552,12094,"Urs-20-en-16-ol, (16á,18à,19à)-",0.5483,M6-4,6,4,ya,1.01,11974.25743
8.8552,10512,"5,5-Dimethyl-2-(2,2,2-trifluoro-1-trifluoromethylethyl)-4,5-dihydrooxazole",0.6613,M7-1,7,1,yf,1.24,8477.419355
8.8552,16447,"Urs-20-en-16-ol, (16á,18à,19à)-",0.5941,M7-5,7,5,yf,1.01,16284.15842
8.8552,9440,"Urs-20-en-16-ol, (16á,18à,19à)-",0.622,M10-4,10,4,yf,1.05,8990.47619
8.8552,19615,"1,3-Butadiyne",0.7432,M11-4,11,4,ya,0.786,24955.47074
8.8553,10737,"1,1,1-Tris(hydroxymethyl)propane, tris(trimethylsilyl) ether",0.7223,M1-4,1,4,ya,0.736,14588.31522
8.8553,17491,"2-Propanone, 1-[[4-(phenylimino)-1,3-thiazetidin-2-yliden]amino]-",0.534,M2-5,2,5,yf,0.825,21201.21212
8.8553,21138,"5,5-Dimethyl-2-(2,2,2-trifluoro-1-trifluoromethylethyl)-4,5-dihydrooxazole",0.5823,M5-5,5,5,ya,0.928,22778.01724
8.8553,12487,"Pyrido[3,2-d]pyrimidine-2,4(1H,3H)-dione, 1,3-dimethyl-",0.5597,M6-2,6,2,ya,0.936,13340.81197
8.8553,4973,"succinic acid, butyl 2-methylphenyl ester",0.7247,M8-1,8,1,yf,0.94,5290.425532
8.8553,9230,"Acetic acid, (2,5-dichloro-4-methoxyphenoxy)-, methyl ester",0.5618,M8-2,8,2,yf,0.957,9644.723093
8.8553,4959,"1,1,1-Tris(hydroxymethyl)propane, tris(trimethylsilyl) ether",0.7248,M9-5,9,5,yf,1.03,4814.563107
8.8553,12817,"1,2-Diphenyl-3-chlorocarbonyl-cyclopropene",0.6087,M11-2,11,2,ya,0.933,13737.40622
8.8553,3172,Difluoroisothiocyanatophosphine,0.6879,M12-4,12,4,yf,0.947,3349.524815
8.8554,12785,"1,2-Diphenyl-3-chlorocarbonyl-cyclopropene",0.5809,M3-2,3,2,ya,0.959,13331.59541
8.8554,21315,"11b-Phenyl-1,2,3,5,6,11b-hexahydro[1]benzothieno[3,2-g]indolizine",0.5167,M6-1,6,1,ya,1.21,17615.70248
8.8554,6542,"6-Fluoro-2-trifluoromethylbenzoic acid, 2,3-dichlorophenyl ester",0.6493,M9-2,9,2,yf,1.25,5233.6
8.8603,3475,"Cyclopropanethiocarboxylic acid, 1-iodo-, S-t-butyl ester",0.5983,M4-2,4,2,ya,1.09,3188.073394
8.8655,28927,"1,2-Diphenyl-3-chlorocarbonyl-cyclopropene",0.5038,M5-1,5,1,ya,0.973,29729.70195
8.8656,14006,1-(4-Fluorophenyl)-3-phenyl-2-pyrazoline,0.5424,M7-2,7,2,yf,1.23,11386.99187
8.8657,6622,"Benzothiazole, 2-(4-amino-3-methylphenyl)-",0.6533,M9-1,9,1,yf,1.08,6131.481481
8.8657,25301,"Silane, dimethyl(2-methoxyethoxy)heptadecyloxy-",0.5031,M11-1,11,1,ya,1.05,24096.19048
8.8707,17525,"Silane, dimethyl(dimethyl(6-methylpyrid-2-yloxy)silyloxy)(6-methylpyrid-2-yloxy)-",0.6012,M1-2,1,2,ya,1.02,17181.37255
8.8708,57980,"Spiro[cyclohexane-1,3'-indoline]-2'-carboxanilide",0.5167,M1-6,1,6,ya,1.065342613,54423.80631
8.8708,11698,"5,6-Dimethyl-4-phenyl-3-cyanopyridine-2(1H)-thione",0.6132,M2-5,2,5,yf,0.825,14179.39394
8.8708,16367,"Pseudoephedrine, N,O-bis(heptafluorobutyryl) deriv.",0.7389,M4-1,4,1,ya,1.32,12399.24242
8.8708,22461,3-Methyl-1-trihexylsilyloxybenzene,0.6072,M7-4,7,4,yf,0.985,22803.04569
8.8708,12537,"9,10-Anthracenedione, 1,4-diamino-2,3-dihydro-",0.626,M8-1,8,1,yf,0.94,13337.23404
8.8708,7864,"N-Phenyl-N'-(3,4-methylendioxybenzilidene)-hydrazine",0.6318,M10-1,10,1,yf,1.07,7349.53271
8.8708,9449,N-(Heptafluorobutyryl)alanine propyl ester,0.709,M11-5,11,5,ya,0.976,9681.352459
8.8709,36303,"Acrylic acid, 2,3-bis[(trimethylsilyl)oxy]-, trimethylsilyl ester",0.5843,M3-2,3,2,ya,0.959,37855.05735
8.8709,21833,"Sarcosine, n-heptafluorobutyryl-, isobutyl ester",0.6234,M6-2,6,2,ya,0.936,23325.8547
8.8758,17836,"Cyclopentanecarboxamide, N-(1-naphthyl)-",0.5702,M10-5,10,5,yf,0.73,24432.87671
8.8759,19965,"Indeno[2',1':4,5]thieno[3,2-b]thiopyran",0.6623,M1-5,1,5,ya,1.08,18486.11111
8.8759,20860,1-Diphenyl(tert-butyl)silyloxy-4-methoxybenzene,0.5772,M3-1,3,1,ya,0.949,21981.03267
8.8759,8076,[597] cytosine 2 [13.255],0.6194,M3-5,3,5,ya,0.892,9053.811659
8.8759,9792,"Trifluoroacetic acid, 2-naphthyl ester",0.7529,M4-2,4,2,ya,1.09,8983.486239
8.8759,19687,"Benzo[c]phenarsazine, 7-chloro-7,12-dihydro-9-methyl-",0.5393,M6-5,6,5,ya,0.964,20422.19917
8.8759,8262,"Cyclopentanecarboxamide, N-(1-naphthyl)-",0.5235,M8-5,8,5,yf,1.19,6942.857143
8.8759,15231,"Cyclopentanecarboxamide, N-(1-naphthyl)-",0.5317,M10-2,10,2,yf,0.923,16501.62514
8.876,15882,"Ethylamine, N-heptyl-N-octyl-2-(2-thiophenyl)-",0.6525,M1-4,1,4,ya,0.736,21578.80435
8.876,203879,"[28115] 2,3-dihydroxypyridine  [10.472]",0.5984,M4-1,4,1,ya,1.32,154453.7879
8.876,14994,"3,5-Dimethoxymandelic amide, di-TMS",0.5255,M5-4,5,4,ya,0.874,17155.60641
8.876,34089,3-Methyl-1-trihexylsilyloxybenzene,0.5399,M6-4,6,4,ya,1.01,33751.48515
8.876,19335,1-Diphenyl(tert-butyl)silyloxy-4-methoxybenzene,0.6204,M7-1,7,1,yf,1.24,15592.74194
8.876,10809,"9,10-Anthracenedione, 1,4-diamino-2,3-dihydro-",0.6274,M7-5,7,5,yf,1.01,10701.9802
8.876,12256,3-Methyl-1-trihexylsilyloxybenzene,0.5506,M8-2,8,2,yf,0.957,12806.68757
8.876,13763,"Benzothiazole, 2-(4-amino-3-methylphenyl)-",0.7243,M11-2,11,2,ya,0.933,14751.33976
